data,abitato,tipo,carattistiche,stato_fondo,pavimentazione,meteo,traffico,danni_cose,lesioni,chiamata,arrivo,strada,nearest_x,nearest_y,quartiere
04/01/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,15:20:00,15:30:00,w30009725,16.8677559036262,41.1312951658515,1
11/01/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,11:10:00,11:25:00,w24889107,16.8668910057468,41.1259701778455,1
28/01/2022,si,Strada urbana,Rotatoria,Asciutto,Asfaltata,Sereno,Scarso,no,si,13:45:00,14:00:00,w343262086,16.8671965432725,41.1318654631086,1
04/02/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,21:40:00,21:58:00,w180534897,16.8724676741283,41.1292438105857,1
12/02/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Intenso,no,si,20:40:00,20:55:00,w241918044,16.8725240728054,41.1263256753235,1
20/02/2022,si,Strada urbana,Intersezione stradale segnalata,Asciutto,Asfaltata,Sereno,Normale,no,si,16:05:00,16:10:00,w673896301,16.8710286534303,41.1261661339273,1
23/02/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,00:21:00,00:30:00,w30009725,16.8677518279748,41.1312311718051,1
24/02/2022,si,Strada urbana,Curva a visuale libera,Asciutto,Asfaltata,Sereno,Intenso,no,si,00:00:00,00:00:00,w1233267579,16.8698130367261,41.1331801132668,1
19/03/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,no,03:20:00,03:30:00,w1070609213,16.870591059198,41.1261022658457,1
09/04/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,03:23:00,03:28:00,w180534897,16.8717680866001,41.1296788396502,1
10/04/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,no,22:15:00,22:20:00,w241918042,16.8715702199076,41.1261642444796,1
05/05/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Nuvoloso,Scarso,no,no,19:25:00,19:30:00,w1235836017,16.8674188439594,41.1289859081748,1
06/05/2022,si,Strada urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Normale,no,si,14:35:00,14:40:00,w241918042,16.8716519940355,41.1261696100938,1
09/05/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Scarso,no,si,18:20:00,18:30:00,w561067146,16.8678388939768,41.1309002273483,1
11/05/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,16:33:00,16:45:00,w30009725,16.8686854546558,41.1323058118929,1
12/05/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,18:26:00,18:30:00,w124907304,16.8665974773848,41.1291587287635,1
27/05/2022,si,Strada urbana,Rettilineo,Asciutto,Lastricata,Sereno,Scarso,no,no,10:20:00,10:25:00,w30015857,16.8710698520116,41.127686176476,1
30/05/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,si,11:30:00,11:40:00,w45193807,16.8693034816699,41.1260834497854,1
06/06/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,09:30:00,09:40:00,w1070609213,16.8703513171529,41.1260879469059,1
10/06/2022,si,Strada urbana,Rettilineo,Bagnato (pioggia),Asfaltata,Pioggia in atto,Scarso,no,no,18:00:00,18:15:00,w180534897,16.8717680866001,41.1296788396502,1
13/06/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Sereno,Normale,no,no,18:10:00,18:15:00,w30009727,16.872455788018,41.1269286190899,1
26/06/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Sereno,Scarso,no,si,02:30:00,02:38:00,w342570135,16.8647148819568,41.1290720078767,1
29/06/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,20:15:00,20:25:00,w180534897,16.8712354073928,41.1306493898562,1
11/07/2022,si,Strada urbana,Rettilineo,Asciutto,Asfaltata,Sereno,Normale,no,si,22:30:00,22:35:00,w1219872302,16.8674298907054,41.1259455423897,1
12/07/2022,si,Strada urbana,Incrocio,Asciutto,Asfaltata,Sereno,Intenso,no,si,11:40:00,11:45:00,w68573893,16.8685109059241,41.1259791448727,1
